userId,courseId,enrollmentDate,completionPercentage,courseName,courseDuration,courseDifficulty,learningPathId,learningPathName
467,2367,2024-08-28,97,Learn Piano Online-In the Garden Piano Solo,1.0,Intermediate,9,Backend Engineering with Node.js
64,1306,2023-12-21,77,Graphic design - The Quick Guide,0.633333333,Beginner,4,Software Architecture Design
76,950,2024-08-21,13,Public Speaking: You Can Give Great Financial Presentations,6.5,Beginner,8,Version Control with Git
305,2803,2023-12-04,11,Ultimate WordPress Plugin Course,9.0,Beginner,16,Cloud-Native Application Development
387,3558,2024-07-06,61,Optimizing Wordpress for More Speed and Revenue,0.583333333,Intermediate,17,Security for Software Engineers
464,3480,2024-03-07,24,Learn To Build Apps Using Play Framework,5.5,Beginner,13,Microservices Architecture
392,2096,2024-02-16,89,How To Play Guitar - Everything You Need To Know To Start,1.0,Beginner,19,RESTful API Design
490,172,2024-06-17,3,Bank Financial Management A Comprehensive Study,1.5,Beginner,14,Database Design and SQL
381,3640,2023-12-30,35,create a search engine for your website!,1.5,Intermediate,4,Software Architecture Design
173,2762,2023-11-30,40,CSS and CSS3 For Absolute Beginners,5.0,Beginner,7,Data Structures and Algorithms
269,473,2024-01-12,29,Take Your Career to the Next Level with MBA Finance,2.0,Beginner,9,Backend Engineering with Node.js
439,840,2024-04-13,98,Essential Finance For Managers,5.5,Beginner,2,Full-Stack Web Development
25,1495,2024-05-12,45,Easy Typography Tips to Beautify and Strengthen Your Work,1.0,Intermediate,1,Introduction to Programming
54,2479,2024-02-05,7,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,4.0,Beginner,13,Microservices Architecture
28,1685,2024-05-15,73,Essential Skills for Designers - Working with Type,2.0,Beginner,10,Frontend Engineering with React
149,3631,2024-05-20,55,XML XQuery - Crash Course for Beginners,1.0,Beginner,19,RESTful API Design
281,2416,2023-12-15,64,Guitar Looper Basic Training,1.5,Beginner,2,Full-Stack Web Development
278,1562,2024-03-17,17,Photoshop CC Training - Creating Fantastic Album Cover Art,1.0,Beginner,11,Agile Software Development
48,1407,2023-11-20,58,BUSINESS CARD DESIGN IN POWERPOINT,1.0,Beginner,13,Microservices Architecture
391,2376,2023-11-18,4,Drum Lessons For Beginners,2.5,Beginner,12,Software Testing and QA
464,432,2023-11-25,0,Introduction to Trade Theory (Technical Analysis) For Stocks,1.0,Beginner,11,Agile Software Development
331,3333,2024-08-31,27,Django For Beginners,4.0,Beginner,13,Microservices Architecture
286,1494,2023-12-21,23,Graphic Design: Double Your Sales With Canva,2.5,Beginner,5,DevOps Engineering
101,808,2024-03-14,64,Create Your Own Automated Stock Trading Robot In EXCEL!,5.0,Beginner,14,Database Design and SQL
181,266,2024-01-16,73,Candlestick Analysis For Professional Traders,2.0,Advanced,3,Mobile App Development
123,141,2024-04-01,13,Intro to Financial Modeling,6.0,Beginner,3,Mobile App Development
121,3613,2024-07-26,42,Simple And Easy: Wordpress For Beginners,3.0,Beginner,14,Database Design and SQL
365,2662,2024-01-01,19,jQuery Fundamentals Powerful Bootcamp for beginners,3.0,Beginner,16,Cloud-Native Application Development
345,2507,2024-05-01,19,React JS and Redux - Mastering Web Apps,5.0,Beginner,15,Machine Learning for Software Engineers
451,3235,2024-05-11,2,ExpressJS Fundamentals,1.0,Beginner,2,Full-Stack Web Development
284,3200,2024-04-08,77,AWS Serverless APIs & Apps - A Complete Introduction,8.0,Beginner,15,Machine Learning for Software Engineers
265,157,2024-08-04,63,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,1.0,Intermediate,6,Cloud Computing Foundations
66,975,2024-01-30,24,Bookkeeping Made Simple,2.5,Beginner,2,Full-Stack Web Development
274,342,2024-08-16,30,Cost Accounting Marginal Costing Theory and Practice,2.5,Beginner,14,Database Design and SQL
277,3506,2024-03-01,89,Customizr - Learn WordPress with the ultimate creative theme,5.0,Beginner,1,Introduction to Programming
224,541,2024-05-18,75,Essential Options: Strategies for Mastering the Stock Market,5.0,Intermediate,8,Version Control with Git
280,90,2024-09-02,1,Emini ES Futures - Advanced Non Directional Options Trading,1.5,Beginner,7,Data Structures and Algorithms
353,2072,2024-03-11,16,Drums for Beginners,3.0,Beginner,8,Version Control with Git
229,606,2024-04-21,74,Trading Intradiario basado en Precio y Volumen,1.5,Intermediate,19,RESTful API Design
